"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"SPICEPREFIX";
"C2";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"J1";"Panel";"CONN_05X2SHD";"2X5-SHROUDED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08671";"PRT-08506";"";"";
"J2";"Main Board";"CONN_05X2PTH";"2X5";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08499";"PRT-0778";"";"";
"J3";"FTDI Basic MOD";"ARDUINO_SERIAL_PROGRAMPTH";"1X06";"";"";"";"";"";
"Q1";"2N7000";"2N7002E";"SOT23";"N-channel TrenchMOS FET";"";"";"";"";
"Q4";"2N7000";"2N7002E";"SOT23";"N-channel TrenchMOS FET";"";"";"";"";
"Q5";"2N7000";"2N7002E";"SOT23";"N-channel TrenchMOS FET";"";"";"";"";
"R1";"47";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R2";"47";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R3";"47";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R4";"1M";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R5";"1M";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R6";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R7";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R8";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R9";"";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R10";"";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R13";"";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R14";"";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R15";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"R";
"R16";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"R";
"R18";"470R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"R";
"R20";"";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R21";"";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"SW1";"RST";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-00815";"";"COM-08229";"";
"SW3";"PROG";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"Momentary Switch (Pushbutton) - SPST";"SWCH-00815";"";"COM-08229";"";
"U2";"3.3V_BUCK_CONVERTER";"MINI_BUCK_CONVERTER_UPSIDEDOWN";"MINI_BUCK_CONVERTER_UPDOWN";"4.5-40V Step Down Buck Converter";"";"";"";"";
"U3";"LM339";"TLC339D";"SO14";"COMPARATOR";"";"";"";"";
"U4";"LM393";"LM393D";"SO08";"COMPARATOR";"";"";"";"";
"X2";"ESP-12e";"ESP-12";"ESP-12";"";"";"";"";"";
